"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",188265559.060865,2084.000868,187284838.105,188628182.124884,186921960.156787,186502748.266129,185558793.583615,188115133.981503,181076177.848309,139017009.698013,193257791.570892,131972879.49068,-41933.3318587755,2676.85975779592
"2",2084.000868,0.964100571428571,1975.83844293878,2072.07031322449,1995.1029684898,1963.2311237551,1954.76067910204,2017.02290661224,1904.40204204082,1496.42484979592,2080.61165779592,1419.66029420408,7.05402816326531,0.959357714285714
"3",187284838.105,1975.83844293878,186332952.56201,187649326.543426,185967051.572192,185553606.057264,184611981.907667,187149723.757284,180145815.12841,138205483.255939,192252608.349512,131197670.121861,-41081.4267808163,2674.0201204898
"4",188628182.124884,2072.07031322449,187649326.543426,188993115.370281,187284307.222106,186865735.860778,185920445.746955,188480176.655314,181428399.764193,139293044.96024,193635772.221633,132230365.557991,-41913.0900432653,2684.69553567347
"5",186921960.156787,1995.1029684898,185967051.572192,187284307.222106,185603957.565549,185189163.771309,184248468.614777,186784664.126732,179791716.524768,137928333.463159,191874065.075214,130948211.290292,-41044.2590436735,2652.65300522449
"6",186502748.266129,1963.2311237551,185553606.057264,186865735.860778,185189163.771309,184778533.56812,183842066.5467,186367556.37392,179397525.39746,137684856.450976,191450737.812636,130699501.06963,-41351.7061155102,2649.3209237551
"7",185558793.583615,1954.76067910204,184611981.907667,185920445.746955,184248468.614777,183842066.5467,182915738.743918,185425177.106988,178501806.594082,137066624.251661,190489649.801644,130096909.671355,-41677.3849273469,2624.37902195918
"8",188115133.981503,2017.02290661224,187149723.757284,188480176.655314,186784664.126732,186367556.37392,185425177.106988,187989225.336213,180961752.19179,138805092.996625,193115353.133908,131795563.113781,-40978.3099604082,2626.10662497959
"9",181076177.848309,1904.40204204082,180145815.12841,181428399.764193,179791716.524768,179397525.39746,178501806.594082,180961752.19179,174542966.59505,134510682.967914,186085463.16913,127640873.238042,-44918.0721612245,1309.5373277551
"10",139017009.698013,1496.42484979592,138205483.255939,139293044.96024,137928333.463159,137684856.450976,137066624.251661,138805092.996625,134510682.967914,108129523.025269,143237165.699922,102646942.393206,-69698.8079612245,-762.211293061225
"11",193257791.570892,2080.61165779592,192252608.349512,193635772.221633,191874065.075214,191450737.812636,190489649.801644,193115353.133908,186085463.16913,143237165.699922,198596837.215638,136116448.636356,-44742.9973281633,2164.51574146939
"12",131972879.49068,1419.66029420408,131197670.121861,132230365.557991,130948211.290292,130699501.06963,130096909.671355,131795563.113781,127640873.238042,102646942.393206,136116448.636356,100146758.28429,-66950.1264804082,-557.770536408163
"13",-41933.3318587755,7.05402816326531,-41081.4267808163,-41913.0900432653,-41044.2590436735,-41351.7061155102,-41677.3849273469,-40978.3099604082,-44918.0721612245,-69698.8079612245,-44742.9973281633,-66950.1264804082,775.806448979592,56.3242893877551
"14",2676.85975779592,0.959357714285714,2674.0201204898,2684.69553567347,2652.65300522449,2649.3209237551,2624.37902195918,2626.10662497959,1309.5373277551,-762.211293061225,2164.51574146939,-557.770536408163,56.3242893877551,10.7159740408163
